Script,Letter,Annotation
Cyrillic,А,BADn1353+1353SATf
Cyrillic,Б,BATr1315+1115MACa
Cyrillic,В,BATl3133+1115MACa13+11MACa
Cyrillic,Г,BATr
Cyrillic,Д,SOTn21+15BICKy51+11BATg
Cyrillic,Е,BITc13+13SATf
Cyrillic,Ж,MUTu35+31MUTn31+31BITl
Cyrillic,З,BACk
Cyrillic,И,BITl35+15BADy51+31BITl
Cyrillic,Й,BITl35+15BADy(30%35SACu)51+31BITl
Cyrillic,К,BITl33+13BADc
Cyrillic,Л,BICKy51+11BATg
Cyrillic,М,BITl11+11MADu51+31BITl
Cyrillic,Н,BITl13+13SATf53+33BITl
Cyrillic,О,BACo
Cyrillic,П,BATn
Cyrillic,Р,BITl3133+1155MACa
Cyrillic,С,BACc
Cyrillic,Т,SATf33+31BITl
Cyrillic,У,MADy55+33BADv
Cyrillic,Ф,BITl3234+3135BUCo
Cyrillic,Х,BADv33+33BADy
Cyrillic,Ц,BATu55+11SITg
Cyrillic,Ч,MACu51+31BITl
Cyrillic,Ш,BUTw
Cyrillic,Щ,BUTb+BUTw55+11SITg
Cyrillic,Ъ,SITf53+13BITl3335+1115MACa
Cyrillic,Ы,BITl3335+1115MACa65%35BITl
Cyrillic,Ь,BITl3335+1115MACa
Cyrillic,Э,BACa53+53SATf
Cyrillic,Ю,BITl33+13SITf53+13BACo
Cyrillic,Я,MADy51+55MACc51+31BITl
Greek Uppercase,Α,BADn1353+1353SATf
Greek Uppercase,Β,BATl3133+1115MACa13+11MACa
Greek Uppercase,Γ,BATr
Greek Uppercase,Δ,BADn1555+1353MATf
Greek Uppercase,Ε,BITc13+13SATf
Greek Uppercase,Ζ,SATf53+51BADy15+15SATf
Greek Uppercase,Η,BITl33+13SATf53+13BITl
Greek Uppercase,Θ,BUCo1353+1353SATf
Greek Uppercase,Ι,BITl
Greek Uppercase,Κ,BITl13+13BADc
Greek Uppercase,Λ,BADn
Greek Uppercase,Μ,BITl11+11MADu51+11BITl
Greek Uppercase,Ν,BITl11+11BADv55+15BITl
Greek Uppercase,Ξ,BUTb31+33SATf36%33SITf36%33SATf
Greek Uppercase,Ο,BACo
Greek Uppercase,Π,BATn
Greek Uppercase,Ρ,BITl1113+1155MACa
Greek Uppercase,Σ,SATf11+11BIDa15+13SATf
Greek Uppercase,Τ,SATf33+31BITl
Greek Uppercase,Υ,MADu35+31MITl
Greek Uppercase,Φ,BITl3234+3135BACo
Greek Uppercase,Χ,BADv33+33BADy
Greek Uppercase,Ψ,BACu35+34BITl
Greek Uppercase,Ω,SITf53+15BACn55+13SITf
Greek Lowercase,α,SICKy15&53MACo53&11SICKv
