Script,Letter,Annotation
Cyrillic,А,BADn1353+1353SATf
Cyrillic,Б,BATr1315+1115MACa
Cyrillic,В,BATl3133+1115MACa13+11MACa
Cyrillic,Г,BATr
Cyrillic,Д,SOTn21+15BICKy51+11BATg
Cyrillic,Е,BITc13+13SATf
Cyrillic,Ж,MUTu35+31MUTn31+31BITl
Cyrillic,З,BACk
Cyrillic,И,BITl35+15BADy51+31BITl
Cyrillic,Й,BITl35+15BADy(30%35SACu)51+31BITl
Cyrillic,К,BITl33+13BADc
Cyrillic,Л,BICKy51+11BATg
Cyrillic,М,BITl11+11MADu51+31BITl
Cyrillic,Н,BITl13+13SATf53+33BITl
Cyrillic,О,BACo
Cyrillic,П,BATn
Cyrillic,Р,BITl3133+1155MACa
Cyrillic,С,BACc
Cyrillic,Т,SATf33+31BITl
Cyrillic,У,MADy55+33BADv
Cyrillic,Ф,BITl3234+3135BUCo
Cyrillic,Х,BADv33+33BADy
Cyrillic,Ц,BATu55+11SITg
Cyrillic,Ч,MACu51+31BITl
Cyrillic,Ш,BUTw
Cyrillic,Щ,BUTb+BUTw55+11SITg
Cyrillic,Ъ,SITf53+13BITl3335+1115MACa
Cyrillic,Ы,BITl3335+1115MACa65%35BITl
Cyrillic,Ь,BITl3335+1115MACa
Cyrillic,Э,BACa53+53SATf
Cyrillic,Ю,BITl33+13SITf53+13BACo
Cyrillic,Я,MADy51+55MACc51+31BITl
Greek,Α,BADn1353+1353SATf
Greek,Β,BATl3133+1115MACa13+11MACa
Greek,Γ,BATr
Greek,Δ,BADn1555+1353MATf
Greek,Ε,BITc13+13SATf
Greek,Ζ,SATf53+51BADy15+15SATf
Greek,Η,BITl33+13SATf53+13BITl
Greek,Θ,BUCo1353+1353SATf
Greek,Ι,BITl
Greek,Κ,BITl13+13BADc
Greek,Λ,BADn
Greek,Μ,BITl11+11MADu51+11BITl
Greek,Ν,BITl11+11BADv55+15BITl
Greek,Ξ,BUTb31+33SATf36%33SITf36%33SATf
Greek,Ο,BACo
Greek,Π,BATn
Greek,Ρ,BITl1113+1155MACa
Greek,Σ,SATf11+11BIDa15+13SATf
Greek,Τ,SATf33+31BITl
Greek,Υ,MADu35+31MITl
Greek,Φ,BITl3234+3135BACo
Greek,Χ,BADv33+33BADy
Greek,Ψ,BACu35+34BITl
Greek,Ω,SITf53+15BACn55+13SITf
Greek,α,SICKy15&53MACo53&11SICKv
Greek,β,BUTb35+34HITl3135&1115BACk
Greek,γ,BUTb+MACVv55&31MITl31&15MACKy
Greek,δ,MACo31&55MACv
Greek,ε,MACe
Greek,ζ,BUTb31+SITf35+51BICc55&11SICa
