Script,Letter,Annotation
Telugu,అ,MACo11+11BUCu51&51MACr15+13SATf
Telugu,ఆ,MACo11+11BUCu51&11MACo15&53SACf
Telugu,ఇ,BUCa(*m)15+15MUCo51&11SICu
Telugu,ఈ,BUCo2343+2343SOTf53&31SUCo31+15SUCa
Telugu,ఉ,SITl35+31BUCc(*w)(55+55MACo)13+13SUTf
Telugu,ఊ,SITl35+31BUCc(*w)(55+55MACo)13+13SUTf53&31SUCo31+15SUCa
Telugu,ఋ,BACz55+15BACa55+15BACa55+15BACa
Telugu,ఎ,MACo55+15BUCa
Telugu,ఏ,MACo55+15BUCa01%33SICl
Telugu,ఐ,MACo55+15BUCa*m
Telugu,ఒ,BUCz35*w
Telugu,ఓ,BUCz(*w)31+15SACr
Telugu,ఔ,BUCz(*w)31+15SUCa11+15MACf53+31MACo
Telugu,క,BUCs
Telugu,ఖ,MACo11+11BACa15+15MUCo51&15BACa15+31SITl
Telugu,గ,BUCn
Telugu,ఘ,MACo55+15BUCa(+31SICl)55+15BACa
Telugu,ఙ,BACz(*w)52+13SITf33+35SITl
Telugu,చ,SITf35+15BUCa(*w)
Telugu,ఛ,SITf35+15BUCa(*w31+31SITf)
Telugu,జ,BACz(*MUCw)52+15SICa
Telugu,ఝ,BUCo55+15BUCa15+15BUCa55+31SICl
Telugu,ఞ,BUCa(*m)15+15MUCo51&11SICu53+13SITf33+35SITl
Telugu,ట,SITl35+31MACo11+11BUCu*w
Telugu,ఠ,BUCo(33%33SICo)
Telugu,డ,BUCa(*m)55+55MACo
Telugu,ఢ,BUCa(*m31+31SICl)55+55MACo
Telugu,ణ,BUCn(*BUCe)(*BUCm)1155+55MACo
Telugu,త,MACo11+11BUCu51+51MACo51&55SICv
Telugu,థ,BUCo(*w31+31SITl)(33%33SICi)
Telugu,ద,BUCo(*w)
Telugu,ధ,BUCo*w31+31SITl
Telugu,న,MACn55&15BUCa
Telugu,ప,MACo55+15BUCa
Telugu,ఫ,MACo55+15BUCa15+31SICl
Telugu,బ,BACz55+15BACa
Telugu,భ,BACz(55+31SICl)55+15BACa
Telugu,మ,MACo55+15BUCa55+15BACa
Telugu,య,BUCo55+51BACa55+15BACa
Telugu,ర,BUCo
Telugu,ఱ,MACo11+11BUCu(*w)51&51MACr15+13SATf
Telugu,ల,MACo11+11BUCu
Telugu,ళ,MACo11+11BUCu35&31MUCo
Telugu,వ,MACo55+15BUCa
Telugu,శ,MACg51&33BUCz
Telugu,ష,MACo55+15BUCa55+11SICv
Telugu,స,MACn55&15BUCa
Telugu,హ,MACo55+15BUCa51+13SATf53+31SICo
